epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,57.9124,0.66813,0.39592,0.57274,0.87451,0.98049,1,0.995,0.83646,0.98049,1,0.995,0.90063,0.73391,0.40714,0.57213,0.94456,0.00193466,0.00193466,0.00193466
101,58.461,0.70174,0.52404,0.57589,0.89126,0.98712,1,0.995,0.81696,0.98712,1,0.995,0.90761,0.71564,0.35609,0.51867,0.89857,0.001934,0.001934,0.001934
102,59.0181,0.6165,0.44203,0.52899,0.87299,0.98736,1,0.995,0.77615,0.98736,1,0.995,0.84089,0.811,0.32837,0.52713,0.92314,0.00193334,0.00193334,0.00193334
103,59.5719,0.6837,0.36946,0.55336,0.86176,0.98771,1,0.995,0.79249,0.98771,1,0.995,0.84081,0.82498,0.3368,0.63567,0.94227,0.00193268,0.00193268,0.00193268
104,60.2168,0.63355,0.35796,0.54428,0.86895,0.99063,1,0.995,0.78092,0.99063,1,0.995,0.92567,0.83488,0.36303,0.67884,0.94649,0.00193202,0.00193202,0.00193202
105,60.7778,0.60819,0.33864,0.51981,0.87387,0.99171,1,0.995,0.81147,0.99171,1,0.995,0.9061,0.76302,0.38547,0.55931,0.93526,0.00193136,0.00193136,0.00193136
106,61.3336,0.69734,0.45097,0.55376,0.88372,0.99235,1,0.995,0.77334,0.99235,1,0.995,0.87964,0.7592,0.40632,0.49986,0.92968,0.0019307,0.0019307,0.0019307
107,61.8816,0.74646,0.41231,0.62254,0.91838,0.9914,1,0.995,0.78185,0.9914,1,0.995,0.87642,0.82031,0.40764,0.48927,0.90225,0.00193004,0.00193004,0.00193004
108,62.4322,0.66919,0.44612,0.55627,0.88823,0.98126,1,0.995,0.7546,0.98126,1,0.995,0.91752,0.92731,0.37321,0.57597,0.91836,0.00192938,0.00192938,0.00192938
109,63.0066,0.72094,0.5075,0.56929,0.89244,0.96028,1,0.995,0.79164,0.96028,1,0.995,0.88413,0.88372,0.35808,0.57431,0.91108,0.00192872,0.00192872,0.00192872
110,63.5618,0.63221,0.39864,0.53238,0.86512,0.94432,1,0.995,0.80913,0.94432,1,0.995,0.91497,0.8573,0.33729,0.61391,0.93057,0.00192806,0.00192806,0.00192806
111,64.1161,0.63673,0.45985,0.51458,0.86923,0.93472,1,0.995,0.8301,0.93472,1,0.995,0.8378,0.85949,0.35585,0.67301,0.93993,0.0019274,0.0019274,0.0019274
112,64.6703,0.61313,0.39758,0.49953,0.86881,0.95986,1,0.995,0.80751,0.95986,1,0.995,0.83093,0.86947,0.36655,0.61485,0.93041,0.00192674,0.00192674,0.00192674
113,65.3082,0.65013,0.41128,0.51032,0.87881,0.95627,1,0.995,0.81946,0.95627,1,0.995,0.85115,0.81303,0.38174,0.60009,0.92897,0.00192608,0.00192608,0.00192608
114,65.8538,0.6807,0.4113,0.54993,0.88024,0.98417,1,0.995,0.80521,0.98417,1,0.995,0.90817,0.66852,0.40016,0.52869,0.88689,0.00192542,0.00192542,0.00192542
115,66.403,0.67693,0.42252,0.51772,0.87829,0.99232,1,0.995,0.87638,0.99232,1,0.995,0.92211,0.53319,0.4265,0.4578,0.8593,0.00192476,0.00192476,0.00192476
116,66.9465,0.63347,0.36983,0.52993,0.8597,0.99273,1,0.995,0.89835,0.99273,1,0.995,0.85724,0.5248,0.3785,0.47821,0.86198,0.0019241,0.0019241,0.0019241
117,67.4861,0.59591,0.39031,0.53629,0.87187,0.99223,1,0.995,0.90615,0.99223,1,0.995,0.9254,0.52491,0.37149,0.51469,0.87108,0.00192344,0.00192344,0.00192344
118,68.0388,0.63465,0.37883,0.53167,0.87672,0.99072,1,0.995,0.88788,0.99072,1,0.995,0.8806,0.55684,0.35292,0.50436,0.8798,0.00192278,0.00192278,0.00192278
